p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,names
1,0,1,0,1,1,0,0,0,1,1,0,"[""Rageshri""]"
1,0,1,0,1,0,1,1,0,1,1,0,"[""Vachaspati""]"
1,0,1,0,1,0,1,1,0,1,1,1,"[""Shankara Karan""]"
1,0,1,0,1,0,1,1,0,1,0,1,"[""Shuddha Kalyan, Yaman""]"
1,0,1,0,1,0,1,0,1,0,1,0,"[""Sehera""]"
1,0,1,0,1,0,1,0,0,1,0,1,"[""Raj Kalyan""]"
1,0,1,0,1,0,0,1,0,0,0,1,"[""Hansadhwani""]"
1,0,1,0,1,0,0,1,0,1,0,0,"[""Bhupali, Deshkar, Jait Kalyan, Pahadi""]"
1,0,0,0,1,0,0,1,0,1,0,0,[“Deshkar”]
1,0,1,0,1,0,0,1,0,1,1,0,"[""Jansammohini""]"
1,0,1,0,1,0,0,1,0,1,0,1,"[""Kesari Kalyan, Shankara""]"
1,0,1,0,1,0,0,0,0,1,0,1,"[""Adbhut Kalyan""]"
1,0,1,0,0,1,1,1,0,1,1,1,"[""Ambika Sarang, Saraswati Sarang""]"
1,0,1,0,0,1,1,1,0,1,0,1,"[""Kedar, Noor Sarang, Shuddha Sarang""]"
1,0,1,0,0,1,0,1,0,0,1,0,"[""Madhumad Sarang, Megh""]"
1,0,1,0,0,1,0,1,0,0,1,1,"[""Sarang""]"
1,0,1,0,0,1,0,1,1,0,0,0,"[""Shobhawari""]"
1,0,1,0,0,1,0,1,0,1,0,0,"[""Durga, Jaldhar Kedar, Shuddha Malhar""]"
1,0,1,0,0,1,0,1,0,1,1,0,"[""Durgawati, Gorakh Kalyan, Narayani""]"
1,0,1,0,0,1,0,1,0,1,1,1,"[""Miyan ki Sarang, Samant Sarang, Surdasi Malhar""]"
1,0,1,0,0,1,0,0,0,1,0,0,"[""Bhavani""]"
1,0,1,0,0,1,0,0,0,1,0,1,"[""Rasaranjani""]"
1,0,1,0,0,0,1,1,0,0,1,0,"[""Devshri""]"
1,0,1,0,0,0,1,1,0,1,1,0,"[""Kameshwari, Saraswati""]"
1,0,0,1,1,1,0,1,0,0,1,0,"[""Jog""]"
1,0,0,1,1,1,0,1,1,0,1,0,"[""Nandkauns, Vardhini""]"
1,0,0,1,1,1,0,1,1,0,0,1,"[""Jogkauns""]"
1,0,0,1,1,1,0,1,0,1,1,0,"[""Jogeshwari Pancham""]"
1,0,0,1,1,1,0,0,1,0,1,0,"[""Madhurkauns, Mohankauns""]"
1,0,0,1,1,1,0,0,1,0,1,1,"[""Ek Prakar ki Kauns""]"
1,0,0,1,1,1,0,0,1,1,1,0,"[""Amrut Ranjani""]"
1,0,0,1,1,1,0,0,0,1,1,0,"[""Jogeshwari""]"
1,0,0,1,1,0,1,1,0,0,1,1,"[""Rasikpriya""]"
1,0,0,1,1,0,0,1,0,1,1,0,"[""Milan Gandhar""]"
1,0,0,1,0,1,0,1,0,0,1,0,"[""Dhani""]"
1,0,0,1,0,1,0,1,0,0,1,1,"[""Hemshri""]"
1,0,0,1,0,1,0,1,0,0,0,1,"[""Madhuranjani""]"
1,0,0,1,0,1,0,1,1,0,1,0,"[""Gopika Basant, Pancham Malkauns""]"
1,0,0,1,0,1,0,0,1,0,1,0,"[""Malkauns""]"
1,0,0,1,0,1,0,0,1,0,1,1,"[""Tulsikauns""]"
