raga,tonic,tonic_name,salience,fit_score,primary_score,match_mass,extra_mass,observed_note_score,loglike_norm,raga_size,match_diff,complexity_pen,rank
Jogiya,3,D#,3200,78.51675503256068,0.33577155718103785,0.7577718385145585,0.24222816148544146,0.32076932237622496,0.0,6,2,0.08333333333333333,65
Jogkauns,10,A#,512,73.51954457680004,0.33577155718103785,0.8068645379096917,0.1931354620903083,0.29275761751571666,0.0,7,1,0.16666666666666666,66
Hemshri,3,D#,3200,72.86959479325357,0.33577155718103785,0.7542551695034458,0.24574483049655416,0.3192806954856726,0.0,6,2,0.08333333333333333,67
Charukeshi,10,A#,512,72.40074557815667,0.33577155718103785,0.806161204107469,0.19383879589253095,0.2925024243344792,0.0,7,1,0.16666666666666666,68
"Bhairav, Gauri",10,A#,512,71.72946617897097,0.33577155718103785,0.8057392038261356,0.19426079617386438,0.29234930842573664,0.0,7,1,0.16666666666666666,69
Tilang,10,A#,512,71.0078421859141,0.33577155718103785,0.8158672105781399,0.18413278942186007,0.3453614386081501,0.0,6,2,0.08333333333333333,70
Basant Mukhari,10,A#,512,52.93364300176528,0.33577155718103785,0.793923195948797,0.206076804051203,0.2880620629809458,0.0,7,1,0.16666666666666666,71
Chandranandan,10,A#,512,43.38947829089634,0.33577155718103785,0.840483893655929,0.15951610634407098,0.2371878845613446,0.0,9,1,0.3333333333333333,72
"Basant, Puriya Dhanashree, Shri”",2,D,537,36.41787862293168,0.42242228161485396,0.7829511886341256,0.2170488113658744,0.28408104935364,0.0,7,1,0.16666666666666666,73
“Gurjari Todi,2,D,537,34.899971016059645,0.4106062737375154,0.7927978618652409,0.20720213813475907,0.33559604620612654,0.0,6,2,0.08333333333333333,74
Jog,10,A#,512,33.96247101605954,0.33577155718103785,0.7927978618652408,0.20720213813475918,0.33559604620612654,0.0,6,2,0.08333333333333333,75
Ramkali,10,A#,512,26.157381335801972,0.33577155718103785,0.8295118863412576,0.1704881136587424,0.23409154062899568,0.0,9,1,0.3333333333333333,76
Lalit,10,A#,512,17.803354444369198,0.33577155718103785,0.7718385145590094,0.22816148544099057,0.28004899709008674,0.0,7,1,0.16666666666666666,77
“Gurjari Todi,3,D#,3200,10.750832160875538,0.30820087213391456,0.7155718103812065,0.28442818961879346,0.3029057996895966,0.0,6,2,0.08333333333333333,78
Salagavarali,2,D,537,-11.406742946258468,0.42242228161485396,0.7639611759741171,0.23603882402588294,0.3233893057035971,0.0,6,2,0.08333333333333333,79
Mohankauns,10,A#,512,-27.930405206746226,0.33577155718103785,0.754255169503446,0.24574483049655405,0.31928069548567256,0.0,6,2,0.08333333333333333,80
Bibhas,2,D,537,-30.12553591158022,0.42242228161485396,0.7604445069630043,0.23955549303699575,0.3862808145756536,0.0,5,3,0.0,81
Bairagi Todi,2,D,537,-31.727581555053995,0.42242228161485396,0.7594598396398927,0.24054016036010728,0.385780635940428,0.0,5,3,0.0,82
Chandrakauns,3,D#,3200,-33.709411747312274,0.29638486425657595,0.696863131242087,0.303136868757913,0.3539835655582294,0.0,5,3,0.0,83
Puriya Kalyan,2,D,537,-45.92572767720703,0.42242228161485396,0.7311858207905471,0.26881417920945294,0.2652988312145564,0.0,7,1,0.16666666666666666,84
“Megh Malhar”,2,D,537,-79.25787101839548,0.5418483612322402,0.6968631312420874,0.30313686875791257,0.2212397284738935,0.0,8,0,0.25,85
Dev Gandhar,2,D,537,-84.58982723469708,0.5418483612322402,0.6934871289914193,0.3065128710085807,0.22016791711269582,0.0,8,0,0.25,86
“Jayat,2,D,537,-89.11166783912421,0.42242228161485396,0.7155718103812067,0.28442818961879335,0.30290579968959647,0.0,6,2,0.08333333333333333,87
Sundarkali,2,D,537,-94.43622531388245,0.42242228161485396,0.7209171472780979,0.27908285272190214,0.36620221507588324,0.0,5,3,0.0,88
"Adana, Darbari Kanada, Jaunpuri, Kaunsi Kanada",2,D,537,-109.4735108001401,0.5418483612322402,0.6912364608243071,0.3087635391756929,0.25080385852026355,0.0,7,1,0.16666666666666666,89
"Marwa, Puriya, Sohini",2,D,537,-110.11910392934669,0.4106062737375154,0.7024898016598675,0.2975101983401325,0.2973681076567417,0.0,6,2,0.08333333333333333,90
"“Shuddha Kalyan, Yaman",10,A#,512,-110.41101080014026,0.09706006470670993,0.691236460824307,0.308763539175693,0.2508038585202636,0.0,7,1,0.16666666666666666,91
Kirwani,2,D,537,-127.15053497870252,0.5418483612322402,0.680123786749191,0.31987621325080895,0.2467718062567103,0.0,7,1,0.16666666666666666,92
“Champakali”,10,A#,512,-129.2068339773459,0.09706006470670993,0.6794204529469684,0.3205795470530316,0.2465166130754728,0.0,7,1,0.16666666666666666,93
Puriya Kalyan,10,A#,512,-129.87811337653164,0.09706006470670993,0.678998452665635,0.32100154733436503,0.24636349716673026,0.0,7,1,0.16666666666666666,94
Jogkauns,2,D,537,-134.53460836974764,0.5418483612322402,0.6754817836545223,0.32451821634547773,0.24508753126054247,0.0,7,1,0.16666666666666666,95
Gopika Basant,2,D,537,-139.2584507641713,0.5418483612322402,0.6843437895625262,0.3156562104374738,0.2896867929014915,0.0,6,2,0.08333333333333333,96
Shankara,10,A#,512,-140.19595076417136,0.09706006470670993,0.6843437895625261,0.31565621043747394,0.28968679290149146,0.0,6,2,0.08333333333333333,97
"Bahar, Lanka Dahan Sarang, Miyan ki Malhar, Sindhura",2,D,537,-161.0145330016879,0.5418483612322402,0.6450977633985089,0.3549022366014911,0.20480528760219535,0.0,8,0,0.25,98
"Bheem, Malgunji",2,D,537,-166.34648921798947,0.5418483612322402,0.6417217611478407,0.35827823885215926,0.20373347624099764,0.0,8,0,0.25,99
“Deshkar”,10,A#,512,-168.305042020092,0.09706006470670993,0.6389084259389501,0.36109157406104986,0.4056806002133322,0.10271216901814972,4,4,0.0,100
Charukeshi,2,D,537,-170.78369592578676,0.5418483612322402,0.6526937684625123,0.34730623153748774,0.2368192721884459,0.0,7,1,0.16666666666666666,101
Chandranandan,2,D,537,-177.70196324589853,0.5418483612322402,0.6991137994091997,0.3008862005908003,0.19729268389454108,0.0,9,1,0.3333333333333333,102
“Jayat,10,A#,512,-179.0484132106041,0.09706006470670993,0.660149106766071,0.33985089323392903,0.2794450398944912,0.0,6,2,0.08333333333333333,103
