track_name,vocals_median_pitch_hz,accompaniment_median_pitch_hz
Dev Gandhar_6,292.55,139.2
Dev Gandhar_7,199.385,120.595
Dev Gandhar_8,261.32,84.88
Dev Gandhar_9,196.24,88.01
Devgiri Bilawal_1,275.71,110.68
Devgiri Bilawal_10,174.6,138.75
Devgiri Bilawal_2,258.935,89.25999999999999
Devgiri Bilawal_3,174.98,139.12
Devgiri Bilawal_4,310.3,124.04
Devgiri Bilawal_5,413.15,313.5
Devgiri Bilawal_6,261.07,82.85
Devgiri Bilawal_7,176.84,110.58
Devgiri Bilawal_8,146.2,120.77
Devgiri Bilawal_9,236.5,93.02
Dhanashree_1,192.98,79.38
Dhanashree_2,276.46,220.06
Dhani_1,288.79,233.01
Dhani_2,178.13,86.66499999999999
Dhani_3,239.02,105.17
Dhani_4,312.3,90.88
Dhani_5,282.665,96.81
Dhani_6,197.88,96.86500000000001
Dhani_7,187.04,104.85
Dhani_8,175.0,72.72
Dhani_9,316.05,117.48
Durga_1,237.53,87.75
Durga_10,310.15,117.16
Durga_2,233.0,232.89
Durga_3,310.31,131.17
Durga_4,194.91,131.42
Durga_5,245.93,89.51
Durga_6,207.81,120.66
Durga_7,237.135,125.19
Durga_8,356.755,86.82
Durga_9,335.49,165.6
Gaud Malhar_1,246.81,110.83
Gaud Malhar_10,199.99,153.79
Gaud Malhar_2,299.5,119.46
Gaud Malhar_3,302.885,119.46
Gaud Malhar_4,355.18,91.08
Gaud Malhar_5,348.175,90.3
Gaud Malhar_6,293.03,110.59
Gaud Malhar_7,168.98,84.97
Gaud Malhar_8,190.52,104.6
Gaud Malhar_9,280.9,91.38
Gaud Sarang_1,205.5,103.55
Gaud Sarang_10,207.82,84.7
Gaud Sarang_2,175.47,165.26
Gaud Sarang_3,276.72,142.10500000000002
Gaud Sarang_4,232.92,88.68
Gaud Sarang_5,185.29,98.7
Gaud Sarang_6,220.09,88.09
Gaud Sarang_7,368.78499999999997,83.01
Gaud Sarang_8,201.1,156.05
Gaud Sarang_9,202.12,462.795
Gauri_1,264.875,116.035
Gauri_2,269.7,106.61
Gauri_3,180.92,93.45
Gauri_4,175.94,93.205
Gauri_5,171.94,83.15
Gauri_6,282.15,112.23
Gauri_7,173.59,94.11
Gauri_8,220.02,127.66
Gauri_9,236.75,117.21
Gavati_1,194.67,155.89
Gavati_10,242.35500000000002,117.78
Gavati_2,328.735,196.24
Gavati_3,233.82,120.77
Gavati_4,260.685,102.86
Gavati_5,123.28,138.79
Gavati_6,215.25,108.07
Gavati_7,328.59,124.11
Gavati_8,260.09,127.57
Gavati_9,261.33,233.04
Gopika Basant_1,293.04,220.06
Gopika Basant_2,191.36,131.42
Gopika Basant_3,205.825,138.45
Gopika Basant_4,356.15,99.17
Gopika Basant_5,208.61,139.16
Gopika Basant_6,205.88,138.48
Gorakh Kalyan_1,147.37,98.7
Gorakh Kalyan_2,293.05,261.31
Gorakh Kalyan_3,211.88,104.15
Gorakh Kalyan_4,233.6,232.95
Gorakh Kalyan_5,339.29,185.32
Gorakh Kalyan_6,174.99,139.19
Gorakh Kalyan_7,293.04,95.4
Gorakh Kalyan_8,282.06,102.87
Gorakh Kalyan_9,251.41,117.32
Gunakri_1,293.53,110.67
Gunakri_10,181.88,103.52
Gunakri_2,322.435,220.06
Gunakri_3,207.81,207.87
Gunakri_4,333.13,109.35
Gunakri_5,156.03,146.86
Gunakri_6,326.57,220.06
Gunakri_7,293.03,110.67
Gunakri_8,168.02,93.03
Gunakri_9,184.53,101.39
Gurjari Todi_1,148.38,104.07499999999999
Gurjari Todi_2,159.935,98.81
Gurjari Todi_3,333.29499999999996,92.955
Gurjari Todi_4,261.31,117.2
Gurjari Todi_5,246.77,116.49
Gurjari Todi_6,170.0,83.5
Gurjari Todi_7,163.94,97.87
Gurjari Todi_8,292.54,291.53
Gurjari Todi_9,220.085,78.92
Hameer_1,232.97,276.46
Hameer_10,198.45,100.295
Hameer_2,189.3,144.15
Hameer_3,233.04,80.21
Hameer_4,207.82,92.66
Hameer_5,229.5,88.13
Hameer_6,310.3,104.51
Hameer_7,237.44,110.61
Hameer_8,216.37,82.92500000000001
Hameer_9,227.3,82.5
Hansadhwani_1,159.46,105.84
Hansadhwani_10,173.77,92.51
Hansadhwani_2,293.04,237.21
Hansadhwani_3,299.3,110.33
Hansadhwani_4,267.37,108.48
Hansadhwani_5,165.51,98.125
Hansadhwani_6,174.17,78.48
Hansadhwani_7,156.53,78.5
Hansadhwani_8,233.14,155.89
Hansadhwani_9,162.2,97.44999999999999
